Cafe Name,Time of Day,Estimated Speaker Age,Speaker Gender,Listener 1 Age,Listener1 Gender,Listener 2 Age,Listener 2 Gender,"Content Words (one word, not phrases)",Theme/Topic,"Formality (Informal, Neutral, Formal)",opt: clothing,opt: orders,opt: occupation,opt: native speaker?,Other notable details,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,sister-in-law,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,second-nature,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,call,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,grandma,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,importance,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,sister-in-law,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,second-nature,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,call,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,grandma,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Paris Baguette,2:00 PM,30s,female,30s,female,,,importance,family,Casual,dressy casual,tea,,"both likely indian-american (based on dress and accent), probably bilingual/multi-lingual",,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,angry,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,comforter,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,five-year-old,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,flapping,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,cursing,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,whoah!,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,trouble,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,emergency,family conflict,Informal,,,,,,,,,,,,,,,
